name,price,image,product_url,product_details
ROASTED RINGENT CHESTNUT 笑口甘栗,CA$2.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_16.20.07__/www.multifoodwindsor.com-6930343420231-20.jpg,http://www.multifoodwindsor.com/ecommerce/roasted-ringent-chestnut-%E7%AC%91%E5%8F%A3%E7%94%98%E6%A0%97.html,
鱼豆腐,CA$2.19,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_15.27.39__/www.multifoodwindsor.com-6926104929082-20.jpg,http://www.multifoodwindsor.com/ecommerce/%E9%B1%BC%E8%B1%86%E8%85%90.html,
CHACHA SUNFLOWER SEEDS 260G,CA$3.59,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/_/_/__20200605143553/www.multifoodwindsor.com-%E6%B4%BD%E6%B4%BD%E7%84%A6%E7%B3%96%E7%93%9C%E5%AD%90-20.jpg,http://www.multifoodwindsor.com/ecommerce/grocery%E6%9D%82%E8%B4%A7/chacha-1.html,
BEIDAHUANG GROUP FROZEN CHESTNUT 400G,CA$6.59,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/20160418_143447__/www.multifoodwindsor.com-%E5%8C%97%E5%A4%A7%E8%8D%92%E9%9B%86%E5%9B%A2-%E6%9D%BF%E6%A0%97%E8%82%89-20.jpg,http://www.multifoodwindsor.com/ecommerce/grocery%E6%9D%82%E8%B4%A7/beidahuang-group-frozen-chestnut-%E5%8C%97%E5%A4%A7%E8%8D%92%E9%9B%86%E5%9B%A2-%E6%9D%BF%E6%A0%97%E8%82%89.html,
SMILING PINE NUT 开口松子,CA$4.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/20160415_152034__/www.multifoodwindsor.com-6946687010106-20.jpg,http://www.multifoodwindsor.com/ecommerce/smiling-pine-nut-%E5%BC%80%E5%8F%A3%E6%9D%BE%E5%AD%90.html,
香菇肥牛 48G,CA$1.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_15.33.53__/www.multifoodwindsor.com-%E9%A6%99%E8%8F%87%E8%82%A5%E7%89%9B-20.jpg,http://www.multifoodwindsor.com/ecommerce/grocery%E6%9D%82%E8%B4%A7/%E9%A6%99%E8%8F%87%E8%82%A5%E7%89%9B.html,
WANT WANT SENBEI 旺旺仙贝,CA$1.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_16.16.36-1__/www.multifoodwindsor.com-4710144101216-20.jpg,http://www.multifoodwindsor.com/ecommerce/want-want-senbei-%E6%97%BA%E6%97%BA%E4%BB%99%E8%B4%9D.html,
DRIED BEAN CURD 手撕素牛肉,CA$3.29,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_16.32.24__/www.multifoodwindsor.com-6954427509926-20.jpg,http://www.multifoodwindsor.com/ecommerce/dried-bean-curd-%E6%89%8B%E6%92%95%E7%B4%A0%E7%89%9B%E8%82%89.html,
蛋白素肉,CA$2.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_15.25.00-2___1/www.multifoodwindsor.com-6927849461318-20.jpg,http://www.multifoodwindsor.com/ecommerce/%E8%9B%8B%E7%99%BD%E7%B4%A0%E8%82%89.html,
GINGER CANDY 姜糖,CA$3.29,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_15.19.54__/www.multifoodwindsor.com-03927804012-20.jpg,http://www.multifoodwindsor.com/ecommerce/ginger-candy-%E5%A7%9C%E7%B3%96.html,
MINI WALNUT CAKES 迷你合桃酥,CA$3.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_16.52.44__/www.multifoodwindsor.com-6935133800286-20.jpg,http://www.multifoodwindsor.com/ecommerce/mini-walnut-cakes-%E8%BF%B7%E4%BD%A0%E5%90%88%E6%A1%83%E9%85%A5.html,
Q 豆腐,CA$2.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/20160415_152411__/www.multifoodwindsor.com-6927849464159-20.jpg,http://www.multifoodwindsor.com/ecommerce/q-%E8%B1%86%E8%85%90.html,
ROASTED RINGENT CHESTNUT 笑口甘栗,CA$2.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_16.20.07__/www.multifoodwindsor.com-6930343420231-20.jpg,http://www.multifoodwindsor.com/ecommerce/roasted-ringent-chestnut-%E7%AC%91%E5%8F%A3%E7%94%98%E6%A0%97.html,
鱼豆腐,CA$2.19,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_15.27.39__/www.multifoodwindsor.com-6926104929082-20.jpg,http://www.multifoodwindsor.com/ecommerce/%E9%B1%BC%E8%B1%86%E8%85%90.html,
满口香瓜子仁,CA$1.59,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_16.23.37__/www.multifoodwindsor.com-6926104930545-20.jpg,http://www.multifoodwindsor.com/ecommerce/%E6%BB%A1%E5%8F%A3%E9%A6%99%E7%93%9C%E5%AD%90%E4%BB%81.html,
满口香豆瓣,CA$1.59,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_15.30.52__/www.multifoodwindsor.com-6926104930569-20.jpg,http://www.multifoodwindsor.com/ecommerce/%E6%BB%A1%E5%8F%A3%E9%A6%99%E8%B1%86%E7%93%A3-2.html,
THIN CRACKER 果子町蔬菜薄饼,CA$2.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-05-10_15.30.15/www.multifoodwindsor.com-716076581287-20.jpg,http://www.multifoodwindsor.com/ecommerce/thin-cracker-%E6%9E%9C%E5%AD%90%E7%94%BA%E8%94%AC%E8%8F%9C%E8%96%84%E9%A5%BC.html,
THIN CRACKER 205G,CA$2.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-05-10_15.31.18/www.multifoodwindsor.com-%E6%9E%9C%E5%AD%90%E7%94%BA%E7%89%9B%E5%A5%B6%E8%96%84%E9%A5%BC-20.jpg,http://www.multifoodwindsor.com/ecommerce/thin-cracker-%E6%9E%9C%E5%AD%90%E7%94%BA%E7%89%9B%E5%A5%B6%E8%96%84%E9%A5%BC-205g.html,
THIN CRACKER 果子町海苔薄饼 205G,CA$2.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-05-10_15.30.48/www.multifoodwindsor.com-716076581300-20.jpg,http://www.multifoodwindsor.com/ecommerce/thin-cracker-%E6%9E%9C%E5%AD%90%E7%94%BA%E6%B5%B7%E8%8B%94%E8%96%84%E9%A5%BC.html,
SOFT GREEN BEAN CAKE 180G,CA$5.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/_/_/__20200517192759/www.multifoodwindsor.com-%E7%A8%BB%E9%A6%99%E6%9D%91%E7%BB%BF%E8%B1%86%E5%86%B0%E7%B3%951%E7%9B%92-20.png,http://www.multifoodwindsor.com/ecommerce/grocery%E6%9D%82%E8%B4%A7/soft-green-bean-cake-180g.html,
CHACHA SUNFLOWER SEEDS 260G,CA$3.59,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/i/file_122/www.multifoodwindsor.com-%E6%B4%BD%E6%B4%BD%E6%A0%B8%E6%A1%83%E7%93%9C%E5%AD%90-20.png,http://www.multifoodwindsor.com/ecommerce/grocery%E6%9D%82%E8%B4%A7/chacha-sunflower-seeds-260g.html,
CHACHA SUNFLOWER SEEDS SPICED 260G,CA$3.59,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/i/file_123/www.multifoodwindsor.com-%E6%B4%BD%E6%B4%BD%E7%93%9C%E5%AD%90%E8%BE%A3%E5%91%B3-20.png,http://www.multifoodwindsor.com/ecommerce/grocery%E6%9D%82%E8%B4%A7/sunflower-seeds-spiced-260gx3.html,
CHACHA SUNFLOWER SEEDS 260G,CA$3.59,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/f/i/file_124/www.multifoodwindsor.com-%E6%B4%BD%E6%B4%BD%E5%8E%9F%E9%A6%99%E7%93%9C%E5%AD%90%E5%8E%9F%E5%91%B3-20.png,http://www.multifoodwindsor.com/ecommerce/grocery%E6%9D%82%E8%B4%A7/qiaqia-sunflower-seeds-260gx3.html,
THREE FLOWERS HAW FLAKES 5,CA$3.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/t/h/three_flowers_haw_flakes_5_90g_x_5/www.multifoodwindsor.com-%E4%B8%89%E8%8A%B1%E5%B1%B1%E6%A5%82%E7%89%8790g-X-5-20.png,http://www.multifoodwindsor.com/ecommerce/grocery%E6%9D%82%E8%B4%A7/three-flowers-haw-flakes-5.html,
GARLIC GREEN PEAS240G,CA$2.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/_/_/__20200402145837/www.multifoodwindsor.com-%E7%9B%9B%E9%A6%99%E7%8F%8D%E8%92%9C%E9%A6%99%E9%9D%92%E8%B1%86-20.png,http://www.multifoodwindsor.com/ecommerce/grocery%E6%9D%82%E8%B4%A7/garlic-green-peas240g.html,
OISHI RED BEAN SNACK 上好佳红脆豆 40G,CA$1.59,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-12-20_19.24.18/www.multifoodwindsor.com-926265352965-20.jpg,http://www.multifoodwindsor.com/ecommerce/oishi-red-bean-snack-%E4%B8%8A%E5%A5%BD%E4%BD%B3%E7%BA%A2%E8%84%86%E8%B1%86-40g.html,
OISHIPRAWN CRACKERS 上好佳鲜虾条 40G,CA$0.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-12-20_19.24.54/www.multifoodwindsor.com-909409012017-20.jpg,http://www.multifoodwindsor.com/ecommerce/oishiprawn-crackers-%E4%B8%8A%E5%A5%BD%E4%BD%B3%E9%B2%9C%E8%99%BE%E6%9D%A1-40g.html,
OISHI MELON FLAVOR 上好佳粟米条哈密瓜口味 40G,CA$1.59,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-12-20_19.24.43/www.multifoodwindsor.com-926265301734-20.jpg,http://www.multifoodwindsor.com/ecommerce/oishi-melon-flavor-%E4%B8%8A%E5%A5%BD%E4%BD%B3%E7%B2%9F%E7%B1%B3%E6%9D%A1%E5%93%88%E5%AF%86%E7%93%9C%E5%8F%A3%E5%91%B3-40g.html,
BUTTER EGG COOKIE ROLLS 牛油蛋卷 300G,CA$4.50,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/_/e/_eulong_butter_egg_cookie_roll_300g__/www.multifoodwindsor.com-897013305019-20.png,http://www.multifoodwindsor.com/ecommerce/butter-egg-cookie-rolls-%E7%89%9B%E6%B2%B9%E8%9B%8B%E5%8D%B7-300g.html,
PINEAPPLE SANDWICH COOKIE徐福记凤梨酥276G,CA$3.29,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/_/p/_pineapple_sandwich_cookie_227g/www.multifoodwindsor.com-6914782200869-20.png,http://www.multifoodwindsor.com/ecommerce/pineapple-sandwich-cookie%E5%BE%90%E7%A6%8F%E8%AE%B0%E5%87%A4%E6%A2%A8%E9%85%A5276g.html,
CRAB ROE FLAVOR BROAD BEAN 蟹黄味蚕豆,CA$3.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-08-08_16.34.58___1/www.multifoodwindsor.com-6940188801515-20.jpg,http://www.multifoodwindsor.com/ecommerce/crab-roe-flavor-broad-bean-%E8%9F%B9%E9%BB%84%E5%91%B3%E8%9A%95%E8%B1%86.html,
CRAB ROE FLAVOR SUNFLOWER KERNELS 蟹黄味瓜子仁,CA$3.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-08-08_16.35.20__/www.multifoodwindsor.com-6940188804677-20.jpg,http://www.multifoodwindsor.com/ecommerce/crab-roe-flavor-sunflower-kernels-%E8%9F%B9%E9%BB%84%E5%91%B3%E7%93%9C%E5%AD%90%E4%BB%81.html,
满口香豆瓣,CA$1.59,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_15.31.34___1/www.multifoodwindsor.com-6926104930576-20.jpg,http://www.multifoodwindsor.com/ecommerce/%E6%BB%A1%E5%8F%A3%E9%A6%99%E8%B1%86%E7%93%A3-1.html,
满口香豆瓣,CA$1.59,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_15.31.08___2/www.multifoodwindsor.com-6926104930552-20.jpg,http://www.multifoodwindsor.com/ecommerce/%E6%BB%A1%E5%8F%A3%E9%A6%99%E8%B1%86%E7%93%A3.html,
上海万年青酥性饼干 400G,CA$2.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_16.29.25__/www.multifoodwindsor.com-%E4%B8%8A%E6%B5%B7%E4%B8%87%E5%B9%B4%E9%9D%92%E9%85%A5%E6%80%A7%E9%A5%BC%E5%B9%B2-20.jpg,http://www.multifoodwindsor.com/ecommerce/grocery%E6%9D%82%E8%B4%A7/%E4%B8%8A%E6%B5%B7%E4%B8%87%E5%B9%B4%E9%9D%92%E9%85%A5%E6%80%A7%E9%A5%BC%E5%B9%B2.html,
ORIGINAL SOFT FLOUR CAKES,CA$3.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-10_18.19.00__/www.multifoodwindsor.com-%E6%B2%99%E7%90%AA%E7%8E%9B-%E8%9B%8B%E9%85%A5%E5%91%B3-608%E5%85%8B-%EF%BC%88%E5%86%85%E5%90%AB18%E4%B8%AA%EF%BC%89-20.jpg,"http://www.multifoodwindsor.com/ecommerce/grocery%E6%9D%82%E8%B4%A7/cookies,%E9%A5%BC%E5%B9%B2-1.html",
RICE CRACKERS 旺旺雪饼,CA$2.59,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-10_11.53.31__1/www.multifoodwindsor.com-4710144802380-20.jpg,http://www.multifoodwindsor.com/ecommerce/crackers-12263.html,
RICE CRACKERS 旺旺雪饼,CA$1.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-10_11.43.17__1/www.multifoodwindsor.com-4710144802373-20.jpg,http://www.multifoodwindsor.com/ecommerce/crackers-12262.html,
HUANG FEI HONG 黄飞红,CA$3.29,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-10_11.46.18__1/www.multifoodwindsor.com-6952784305052-20.jpg,"http://www.multifoodwindsor.com/ecommerce/peanut,%E8%8A%B1%E7%94%9F-4.html",
BIN-BIN RICE CRACKERS SEAWEED FLAVOR宾宾米果,CA$1.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-08_12.32.04__1/www.multifoodwindsor.com-8852098700100-20.jpg,http://www.multifoodwindsor.com/ecommerce/snack-17540.html,
BIN-BIN RICE CRACKERS ORIGINAL FLAVOR宾宾米果,CA$1.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-08_13.46.34__1/www.multifoodwindsor.com-62125010001-20.jpg,http://www.multifoodwindsor.com/ecommerce/snack-17539.html,
KISS-BURN 亲嘴烧,CA$0.39,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-02_15.51.25__/www.multifoodwindsor.com-6935284455588-20.jpg,http://www.multifoodwindsor.com/ecommerce/kiss-1.html,
KISS-BURN 亲嘴烧,CA$0.39,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-03-30_19.43.43__/www.multifoodwindsor.com-6935284455595-20.jpg,http://www.multifoodwindsor.com/ecommerce/kiss-burn-%E4%BA%B2%E5%98%B4%E7%83%A7.html,
SOYBEAN VEGETARIAN MEAT 180G,CA$4.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/7/_/7_edited-1/www.multifoodwindsor.com-%E5%8D%AB%E9%BE%99%E6%89%8B%E6%92%95%E7%B4%A0%E8%82%891%E8%A2%8B-20.jpg,http://www.multifoodwindsor.com/ecommerce/flour-1.html,
LARGE GLUTEN 106G,CA$1.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/5/_/5_edited-1_1/www.multifoodwindsor.com-%E5%8D%AB%E9%BE%99%E5%A4%A7%E9%9D%A2%E7%AD%8B%E5%86%B7%E9%9D%991%E8%A2%8B-20.jpg,http://www.multifoodwindsor.com/ecommerce/flour-stick%EF%BC%8C%E9%9D%A2%E7%AD%8B.html,
SUNFLOWER SEEDS 洽洽原香瓜子,CA$2.59,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-03-29_15.56.46___1/www.multifoodwindsor.com-6924187846180-20.jpg,"http://www.multifoodwindsor.com/ecommerce/seeds,%E7%93%9C%E5%AD%90-3.html",
CHACHA SUNFLOWER SEEDS 260G,CA$3.59,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/_/_/__20200605143019/www.multifoodwindsor.com-%E6%B4%BD%E6%B4%BD%E6%A4%B0%E9%A6%99%E7%93%9C%E5%AD%90-20.jpg,"http://www.multifoodwindsor.com/ecommerce/grocery%E6%9D%82%E8%B4%A7/seeds,%E7%93%9C%E5%AD%90.html",
SUNFLOWER SEEDS 洽洽香瓜子260GX2,CA$6.00,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/w/e/wechat_image_20170817160148__/www.multifoodwindsor.com-924187846173-20.jpg,"http://www.multifoodwindsor.com/ecommerce/seeds,%E7%93%9C%E5%AD%90-1.html",
SESAME SOFT FLOUR CAKES 608G,CA$3.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-10_18.19.22__/www.multifoodwindsor.com-%E6%B2%99%E7%90%AA%E7%8E%9B-%E8%8A%9D%E9%BA%BB%E5%91%B3-20.jpg,"http://www.multifoodwindsor.com/ecommerce/grocery%E6%9D%82%E8%B4%A7/cookies,%E9%A5%BC%E5%B9%B2.html",
旺仔小馒头牛奶味,CA$2.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-11_09.47.46__/www.multifoodwindsor.com-68635280367-20.jpg,"http://www.multifoodwindsor.com/ecommerce/cookies,%E9%A5%BC%E5%B9%B2-7.html",
旺仔小馒头蜂蜜味,CA$2.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-11_09.46.47__/www.multifoodwindsor.com-68635280383-20.jpg,"http://www.multifoodwindsor.com/ecommerce/cookies,%E9%A5%BC%E5%B9%B2-8.html",
好吃点,CA$2.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_15.27.59__/www.multifoodwindsor.com-6911988009746-20.jpg,http://www.multifoodwindsor.com/ecommerce/%E5%A5%BD%E5%90%83%E7%82%B9.html,
串烧 羊汁味,CA$1.59,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-13_13.51.46__/www.multifoodwindsor.com-6923696800713-20.jpg,http://www.multifoodwindsor.com/ecommerce/%E4%B8%B2%E7%83%A7-2.html,
串烧 牛汁味,CA$1.59,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-13_13.52.39__/www.multifoodwindsor.com-6923696800720-20.jpg,http://www.multifoodwindsor.com/ecommerce/%E4%B8%B2%E7%83%A7-1.html,
串烧 鸡汁味,CA$1.59,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-13_16.14.15__/www.multifoodwindsor.com-6923696800737-20.jpg,http://www.multifoodwindsor.com/ecommerce/%E4%B8%B2%E7%83%A7.html,
