Name,Store,Category,Price,Image URL,Product URL,Description
Thick Slice Bread 100% Whole Wheat,Zehrs,Bakery,3.99,https://assets.shop.loblaws.ca/products/20322326/b3/en/front/20322326_front_a06_@2.png,https://www.zehrs.ca/thick-slice-bread-100-whole-wheat/p/20322326_EA,"Baked with the passion of Italy. We bake big bread. Unapologetically big bread. Because we believe you should live to eat, not eat to live.. So go on - grab a soft, thick slice, take a huge, delicious bite, and Live Large. Product Number: 20322326_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
"Bread, Sliced White",Zehrs,Bakery,3.99,https://assets.shop.loblaws.ca/products/20276296/b3/en/front/20276296_front_a06_@2.png,https://www.zehrs.ca/bread-sliced-white/p/20276296_EA,"Make each day a little softer by biting into our pillowy soft sliced white bread. Each loaf is baked in Canada and contains 15 essential nutrients per serving. No artificial flavours, colours or preservatives. Perfect for toasting or for sandwiches. Our Softest Wonder, Championing the Power of Softness. Product Number: 20276296_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
"Thin Sandwich Bread, White",Zehrs,Bakery,3.99,https://assets.shop.loblaws.ca/products/20308743/b3/en/front/20308743_front_a06_@2.png,https://www.zehrs.ca/thin-sandwich-bread-white/p/20308743_EA,"Make each day a little softer by biting into our pillowy soft thin sliced white bread. Each loaf is baked in Canada and contains only 70 calories per slice. No artificial flavours, colours or preservatives. Perfect for toasting or for sandwiches. Our Softest Wonder, Championing the Power of Softness. Product Number: 20308743_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
White Bread with Fibre,Zehrs,Bakery,3.99,https://assets.shop.loblaws.ca/products/20097083/b3/en/front/20097083_front_a06_@2.png,https://www.zehrs.ca/white-bread-with-fibre/p/20097083_EA,"Make each day a little softer by biting into our pillowy soft sliced white bread with fibre. Each loaf is baked in Canada and contains 3g of fibre per serving along with 13 essential nutrients. No artificial flavours, colours or preservatives. Perfect for toasting or for sandwiches. Our Softest Wonder, Championing the Power of Softness. Product Number: 20097083_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
100% Whole Wheat Bread,Zehrs,Bakery,3.99,https://assets.shop.loblaws.ca/products/20771852/b3/en/front/20771852_front_a06_@2.png,https://www.zehrs.ca/100-whole-wheat-bread/p/20771852_EA,"Make each day a little softer by biting into our pillowy soft sliced 100% whole wheat bread. Each loaf is baked in Canada and contains 15 essential nutrients per serving. No artificial flavours, colours or preservatives. Perfect for toasting or for sandwiches. Our Softest Wonder, Championing the Power of Softness. Product Number: 20771852_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
Protein Bread,Zehrs,Bakery,4.49,https://assets.shop.loblaws.ca/products/21429067/b3/en/front/21429067_front_a06_@2.png,https://www.zehrs.ca/protein-bread/p/21429067_EA,Product Number: 21429067_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Cinnamon Raisin Bread,Zehrs,Bakery,4.49,https://assets.shop.loblaws.ca/products/21178967/b3/en/front/21178967_front_a06_@2.png,https://www.zehrs.ca/cinnamon-raisin-bread/p/21178967_EA,"Everything We Bake Is Whole Grain And Begins At The Harvest, With Flavourful Yet Nourishing Ingredients. Country Harvest Raisin Cinnamon Bread Is Made With Whole Grains, And Is Perfectly Spiced And Baked With Cinnamon And Sweet Raisins. Pre-Sliced With No Artificial Colours Or Flavours And No Trans Fat. Product Number: 21178967_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
Bavarian Rye Bread,Zehrs,Bakery,3.99,https://assets.shop.loblaws.ca/products/20180935/b3/en/front/20180935_front_a06_@2.png,https://www.zehrs.ca/bavarian-rye-bread/p/20180935_EA,Rudolph's. Since 1951. At Rudolph's we're proud to combine the finest natural Canadian grains with Bavarian baking traditions to bring you our delicious breads. Product Number: 20180935_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
White Bread White Texas,Zehrs,Bakery,3.99,https://assets.shop.loblaws.ca/products/20771655/b3/en/front/20771655_front_a06_@2.png,https://www.zehrs.ca/white-bread-white-texas/p/20771655_EA,"Make each day a little softer by biting into our thick-cut, pillowy soft sliced whole wheat bread. Each loaf is baked in Canada and contains 15 essential nutrients. No artificial flavours, colours or preservatives. Perfect for French toast or for sandwiches. Our Softest Wonder, Championing the Power of Softness. Product Number: 20771655_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
100% Whole Wheat Bread,Zehrs,Bakery,3.99,https://assets.shop.loblaws.ca/products/20147355/b3/en/front/20147355_front_a06_@2.png,https://www.zehrs.ca/100-whole-wheat-bread/p/20147355_EA,Product Number: 20147355_EA
Ciabatta Cluster,Zehrs,Bakery,4,https://assets.shop.loblaws.ca/products/20965060/b3/en/front/20965060_front_a06_@2.png,https://www.zehrs.ca/ciabatta-cluster/p/20965060_EA,"Our ACE Bakery® bread is made using our aged starters, simple ingredients and traditional techniques, but it's anything but ordinary. Baked in a stone-deck oven to give it its signature golden crisp crust and moist interior, our tear-apart ACE Bakery® Ciabatta Lunga Cluster gives you countless opportunities to add something extraordinary to an everyday meal.Everyday Inspiration:Go simple and spread with butter or dip it in olive oil.Hosting Inspiration:Serve your guests fresh mini Caprese sandwiches, made with fresh basil, tomatoes and mozzarella.Visit us at ACEBakery.com to learn our bread.For A Crispy Crust: Place the bread in a preheated 350°F (177°C) oven for 3 to 5 minutes! Let the bread cool for a minimum of 15 minutes and enjoy!To Save For Later: Freeze the bread by wrapping it airtight. To refresh, remove from bag, and while still frozen, place in a preheated 400°F (200°C) oven for 6 to 9 minutes. Let the bread cool for a minimum of 15 minutes and enjoy! Product Number: 20965060_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
Rye Bread,Zehrs,Bakery,5.99,https://assets.shop.loblaws.ca/products/20072147/b3/en/front/20072147_front_a06_@2.png,https://www.zehrs.ca/rye-bread/p/20072147_EA,"Rye loaf made with wheat flour, sourdough, and rye flour. Product Number: 20072147_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
"White Bread, Sliced",Zehrs,Bakery,3.29,https://assets.shop.loblaws.ca/products/20343113/b3/en/front/20343113_front_a06_@2.png,https://www.zehrs.ca/white-bread-sliced/p/20343113_EA,"Classic sliced white bread with a spongy, moist interior and soft thin crust. Fresh in-store baked bread Product Number: 20343113_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
Red Pepper & Tomato Ciabatta,Zehrs,Bakery,3.49,https://assets.shop.loblaws.ca/products/20639494/b3/en/front/20639494_front_a06_@2.png,https://www.zehrs.ca/red-pepper-tomato-ciabatta/p/20639494_EA,"Our ACE Bakery® bread is made using our aged starters, simple ingredients and traditional techniques, but it's anything but ordinary.Baked in a stone-deck oven, our ACE Bakery® Red Pepper and Sun-dried Tomato Ciabatta is made with delicious ingredients including sweet roasted red peppers and fragrant sun-dried tomatoes for a flavourful, savoury bite!Everyday Inspiration:Slice and toast - top with fontina cheese and serve with soup. Also pairs well with olives or tomatoes.Hosting Inspiration:Add some flavour to a traditional meat and cheese charcuterie board with a few slices of this delcious, savoury ciabattaVisit us at ACEBakery.com to learn more our recipesFor A Crispy Crust: Place the loaf in a preheated 350°F (177°C) oven for 3 to 5 minutes! Let the loaf cool for a minimum of 15 minutes and enjoy!To Save For Later: Freeze the loaf by wrapping it airtight. To refresh, remove from bag, and while still frozen, place in a preheated 400°F (200°C) oven for 6 to 8 minutes. Let the loaf cool for a minimum of 15 minutes and enjoy! Product Number: 20639494_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
Banana Chocolate Chunk Muffins,Zehrs,Bakery,6.99,https://assets.shop.loblaws.ca/products/21283357/b3/en/front/21283357_front_a06_@2.png,https://www.zehrs.ca/banana-chocolate-chunk-muffins/p/21283357_EA,Product Number: 21283357_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Chocolate Chip Muffins,Zehrs,Bakery,6.99,https://assets.shop.loblaws.ca/products/21283358/b3/en/front/21283358_front_a06_@2.png,https://www.zehrs.ca/chocolate-chip-muffins/p/21283358_EA,Product Number: 21283358_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Blueberry Muffins,Zehrs,Bakery,6.99,https://assets.shop.loblaws.ca/products/21283356/b3/en/front/21283356_front_a06_@2.png,https://www.zehrs.ca/blueberry-muffins/p/21283356_EA,Product Number: 21283356_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Carrot Muffins,Zehrs,Bakery,6.99,https://assets.shop.loblaws.ca/products/21283360/b3/en/front/21283360_front_a06_@2.png,https://www.zehrs.ca/carrot-muffins/p/21283360_EA,Product Number: 21283360_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Muffins Double Chocolate,Zehrs,Bakery,6.99,https://assets.shop.loblaws.ca/products/21283361/b3/en/front/21283361_front_a06_@2.png,https://www.zehrs.ca/muffins-double-chocolate/p/21283361_EA,Product Number: 21283361_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Raisin Bran Muffins,Zehrs,Bakery,6.99,https://assets.shop.loblaws.ca/products/21283359/b3/en/front/21283359_front_a06_@2.png,https://www.zehrs.ca/raisin-bran-muffins/p/21283359_EA,Product Number: 21283359_EA
Muffins Variety Pack,Zehrs,Bakery,6.99,https://assets.shop.loblaws.ca/products/21283362/b3/en/front/21283362_front_a06_@2.png,https://www.zehrs.ca/muffins-variety-pack/p/21283362_EA,Product Number: 21283362_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Berry Medley Muffins,Zehrs,Bakery,6.99,https://assets.shop.loblaws.ca/products/21283355/b3/en/front/21283355_front_a06_@2.png,https://www.zehrs.ca/berry-medley-muffins/p/21283355_EA,Product Number: 21283355_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Lemon Cranberry Muffins,Zehrs,Bakery,6.99,https://assets.shop.loblaws.ca/products/21283354/b3/en/front/21283354_front_a06_@2.png,https://www.zehrs.ca/lemon-cranberry-muffins/p/21283354_EA,Product Number: 21283354_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Glazed Doughnuts,Zehrs,Bakery,5.29,https://assets.shop.loblaws.ca/products/21559294/b3/en/front/21559294_front_a06_@2.png,https://www.zehrs.ca/glazed-doughnuts/p/21559294_EA,"Satisfy your sweet cravings with the delicious Glazed Doughnuts. Perfect for dessert or tea time, serve these doughnuts with a cup of tea or coffee with friends and family. Product Number: 21559294_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
Morning Glory Muffins,Zehrs,Bakery,6.99,https://assets.shop.loblaws.ca/products/21283353/b3/en/front/21283353_front_a06_@2.png,https://www.zehrs.ca/morning-glory-muffins/p/21283353_EA,Product Number: 21283353_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Chocolate Chip Mini Muffins,Zehrs,Bakery,6,https://assets.shop.loblaws.ca/products/21488839/b3/en/front/21488839_front_a06_@2.png,https://www.zehrs.ca/chocolate-chip-mini-muffins/p/21488839_EA,Chocolate Chip Mini Muffins are easy to pack in school lunches. These golden-brown muffins are moist and tender and packed with sweet chocolate chips. Product Number: 21488839_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Twinkies Cakes,Zehrs,Bakery,2,https://assets.shop.loblaws.ca/products/21283752/b3/en/front/21283752_front_a06_@2.png,https://www.zehrs.ca/twinkies-cakes/p/21283752_EA,"Hostess® Twinkies™ Cakes creamy, fluffy, golden cakes filled with an irresistible crème filling. A favourite snack with kids and adults alike. Product Number: 21283752_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
Banana Chocolate Chip Mini Muffins,Zehrs,Bakery,6,https://assets.shop.loblaws.ca/products/21488853/b3/en/front/21488853_front_a06_@2.png,https://www.zehrs.ca/banana-chocolate-chip-mini-muffins/p/21488853_EA,Feed a crowd with Banana Chocolate Chip Mini Muffins. These golden-brown muffins are made with ripe Cavendish bananas and packed with chocolate chips. Product Number: 21488853_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
"Mini Muffins, Chocolate & Double Chocolate",Zehrs,Bakery,6,https://assets.shop.loblaws.ca/products/21561610/b3/en/front/21561610_front_a06_@2.png,https://www.zehrs.ca/mini-muffins-chocolate-double-chocolate/p/21561610_EA,Product Number: 21561610_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Cupcakes Chocolate Cakes,Zehrs,Bakery,2,https://assets.shop.loblaws.ca/products/21283746/b3/en/front/21283746_front_a06_@2.png,https://www.zehrs.ca/cupcakes-chocolate-cakes/p/21283746_EA,"Hostess® Chocolate Cupcakes have a decadent frosting and heavenly, creme-filled centre for rich taste that will drive chocolate-lovers wild. Product Number: 21283746_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
Blueberry Mini Muffins,Zehrs,Bakery,6,https://assets.shop.loblaws.ca/products/21488821/b3/en/front/21488821_front_a06_@2.png,https://www.zehrs.ca/blueberry-mini-muffins/p/21488821_EA,Blueberry Mini Muffins are great for school lunches. These golden-brown muffins are packed with wild blueberries and are free from artificial flavours or synthetic colours. Product Number: 21488821_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Powdered Mini Doughnuts,Zehrs,Bakery,5.79,https://assets.shop.loblaws.ca/products/21559343/b3/en/front/21559343_front_a06_@2.png,https://www.zehrs.ca/powdered-mini-doughnuts/p/21559343_EA,Enjoy a delicious dessert or quick snack when you have Powdered Mini Doughnuts in your cupboard. Eat them with a warm cup of hot chocolate or coffee for a delicious evening treat. Product Number: 21559343_EA DISCLAIMER
Carrot Mini Muffins,Zehrs,Bakery,6,https://assets.shop.loblaws.ca/products/21488913/b3/en/front/21488913_front_a06_@2.png,https://www.zehrs.ca/carrot-mini-muffins/p/21488913_EA,Carrot Mini Muffins are ideal for school lunches. These golden-brown muffins are made with a hint of cinnamon and are free from artificial flavours or synthetic colours. Product Number: 21488913_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Oatmeal & Chocolate Cookies,Zehrs,Bakery,7.29,https://assets.shop.loblaws.ca/products/20566294/b3/en/front/20566294_front_a06_@2.png,https://www.zehrs.ca/oatmeal-chocolate-cookies/p/20566294_EA,The Goodness Of Oatmeal And The Richness Of Chocolate In One Delicious Cookie. Product Number: 20566294_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Jos Louis The Original Cakes,Zehrs,Bakery,4.99,https://assets.shop.loblaws.ca/products/20963606/b3/en/front/20963606_front_a06_@2.png,https://www.zehrs.ca/jos-louis-the-original-cakes/p/20963606_EA,Vachon® The Original Jos Louis® Cakes deliver an irresistible combination of sponge cake and creamy filling coated in a delicious chocolatey layer. Product Number: 20963606_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Brownies,Zehrs,Bakery,9.49,https://assets.shop.loblaws.ca/products/21450067/b3/en/front/21450067_front_a06_@2.png,https://www.zehrs.ca/brownies/p/21450067_EA,Product Number: 21450067_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Old Fashioned Mini Doughnuts,Zehrs,Bakery,5.79,https://assets.shop.loblaws.ca/products/21559169/b3/en/front/21559169_front_a06_@2.png,https://www.zehrs.ca/old-fashioned-mini-doughnuts/p/21559169_EA,"Enjoy the timeless sweetness of Old Fashioned Mini Doughnuts. Indulge for a quick bite, a yummy treat, or dip the doughnuts into coffee or hot cocoa to experience a delicious taste. Product Number: 21559169_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
Chocolate Chip Cookies,Zehrs,Bakery,7.29,https://assets.shop.loblaws.ca/products/20566774/b3/en/front/20566774_front_a06_@2.png,https://www.zehrs.ca/chocolate-chip-cookies/p/20566774_EA,Chewy And Loaded With Chocolate Chips Just Like Homemade. Product Number: 20566774_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
"Mini Assorted Danishes, 8 Pack",Zehrs,Bakery,5.49,https://assets.shop.loblaws.ca/products/21476309/b3/en/front/21476309_front_a06_@2.png,https://www.zehrs.ca/mini-assorted-danishes-8-pack/p/21476309_EA,"Freshly baked in-store mini danishes. Apple, blueberry, lemon and strawberry flavours. Product Number: 21476309_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
Oatmeal Raisin Cookies,Zehrs,Bakery,7.29,https://assets.shop.loblaws.ca/products/20566295/b3/en/front/20566295_front_a06_@2.png,https://www.zehrs.ca/oatmeal-raisin-cookies/p/20566295_EA,Wholesome Cookies Made With The Goodness Of Oatmeal And Sweet Raisins. Product Number: 20566295_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Double Chocolate Mini Muffins,Zehrs,Bakery,6,https://assets.shop.loblaws.ca/products/21561694/b3/en/front/21561694_front_a06_@2.png,https://www.zehrs.ca/double-chocolate-mini-muffins/p/21561694_EA,"Indulge your sweet tooth with Double Chocolate Mini Muffins. Small in size, but big on chocolatey goodness, enjoy with your evening coffee or as a dessert with the family. Product Number: 21561694_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
Ah Caramel® The Original Cakes,Zehrs,Bakery,4.99,https://assets.shop.loblaws.ca/products/20005728/b3/en/front/20005728_front_a06_@2.png,https://www.zehrs.ca/ah-caramel-the-original-cakes/p/20005728_EA,"Bite into pure bliss with Vachon® Ah Caramel!® The Original Cakes. Overflowing with caramel and creamy filling and coated with a chocolatey layer, this soft and spongy cake delivers a decadent flavour experience. Enjoy straight out of the box or freeze for a cool and crunchy sweet indulgence. Twin wrapped, they're great for sharing or doubling up on the go. Made in Sainte-Marie-de-Beauce in Quebec, Vachon® snack cakes have brought joy to families since 1923. Product Number: 20005728_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
Brownies,Zehrs,Bakery,4.99,https://assets.shop.loblaws.ca/products/21450055/b3/en/front/21450055_front_a06_@2.png,https://www.zehrs.ca/brownies/p/21450055_EA,Product Number: 21450055_EA
"Mini Chocolate Chip Cookies, 24 Pack",Zehrs,Bakery,5,https://assets.shop.loblaws.ca/products/21596600/b3/en/front/21596600_front_a06_@2.png,https://www.zehrs.ca/mini-chocolate-chip-cookies-24-pack/p/21596600_EA,Product Number: 21596600_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Lactose Free 2% Dairy Product,Zehrs,Dairy & Eggs,7.09,https://assets.shop.loblaws.ca/products/20077874001/b3/en/front/20077874001_front_a06_@2.png,https://www.zehrs.ca/lactose-free-2-dairy-product/p/20077874001_EA,"Through our unique process, we can preserve the deliciously pure taste of fresh milk in every glass of our products, while removing the lactose that can cause you discomfort. So you can once again benefit from an excellent source of calcium, vitamin D and protein, plus a source of vitamin A. That’s everything you need to maintain a well-balanced diet. Product Number: 20077874001_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
